"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Csrp1",5.02190017003288e-06,1.58635696409868,0.538,0.179,0.0966715782731329,"3","Csrp1"
"Mfsd10",5.02610687944958e-06,1.30827728111535,0.667,0.257,0.0967525574294043,"3","Mfsd10"
"Hn1l",5.4616131987738e-06,1.31981166440774,0.59,0.19,0.105136054076396,"3","Hn1l"
"Mcm2",6.79954186941792e-06,1.53047188138339,0.487,0.145,0.130891180986295,"3","Mcm2"
"Tdp2",6.80676343124977e-06,1.91280807089366,0.462,0.134,0.131030196051558,"3","Tdp2"
"Cbx5",6.80708006718554e-06,1.36549897114386,0.487,0.14,0.131036291293322,"3","Cbx5"
"Bri3bp",7.39473827960716e-06,2.28455291191369,0.308,0.061,0.142348711882438,"3","Bri3bp"
"Hmgn5",7.43030985740267e-06,1.85250521102262,0.359,0.084,0.143033464755001,"3","Hmgn5"
"Dhfr",7.47726998530429e-06,2.30298543857485,0.333,0.073,0.143937447217108,"3","Dhfr"
"Ssrp1",7.49921337802577e-06,1.12092235158479,0.769,0.436,0.144359857526996,"3","Ssrp1"
"Ppil1",7.6129202847842e-06,1.59821671049196,0.513,0.168,0.146548715482096,"3","Ppil1"
"Lbr",1.10581008230614e-05,1.64415076071602,0.462,0.14,0.212868440843933,"3","Lbr"
"Tubb4b",1.11048844411927e-05,1.51940088508267,0.667,0.33,0.213769025492959,"3","Tubb4b"
"Rif1",1.12228920084387e-05,1.81931051462783,0.385,0.095,0.216040671162444,"3","Rif1"
"Rfc1",1.17332740914765e-05,1.25556489391952,0.59,0.207,0.225865526260923,"3","Rfc1"
"Mum1",1.18278723810372e-05,1.9771519972485,0.282,0.05,0.227686543334966,"3","Mum1"
"Cnot6",1.34216863631499e-05,1.51877452206925,0.462,0.134,0.258367462490636,"3","Cnot6"
"Mrpl3",1.39430258188665e-05,1.1581353011701,0.769,0.352,0.26840324701318,"3","Mrpl3"
"Pttg1",1.41563077784376e-05,1.94740700169251,0.462,0.151,0.272508924734924,"3","Pttg1"
"Smc6",1.44708913451598e-05,1.30187502566873,0.667,0.285,0.278564658394326,"3","Smc6"
"Dctpp1",1.59309313599347e-05,1.06449701515878,0.821,0.542,0.306670428678744,"3","Dctpp1"
"X2700094K13Rik",1.656017450025e-05,1.00296929947182,0.795,0.503,0.318783359129813,"3","X2700094K13Rik"
"Stmn1",1.70189357087494e-05,2.19374523143651,0.462,0.179,0.327614512393425,"3","Stmn1"
"Apitd1",1.71893270494907e-05,1.74753498556112,0.436,0.134,0.330894545702697,"3","Apitd1"
"Ctdspl2",1.90659558183241e-05,1.81053664047392,0.333,0.073,0.367019649502738,"3","Ctdspl2"
"Nasp",2.16448712688962e-05,1.32219195056748,0.641,0.274,0.416663771926253,"3","Nasp"
"Cmc2",2.19844648108891e-05,1.43020807858275,0.564,0.207,0.423200947609616,"3","Cmc2"
"Ncaph",2.26296860117478e-05,1.79042807210158,0.385,0.106,0.435621455726145,"3","Ncaph"
"Nop58",2.35176066832539e-05,1.49621438956805,0.564,0.229,0.452713928652637,"3","Nop58"
"Ly6e",2.41641744778817e-05,1.20688520106738,0.692,0.352,0.465160358699222,"3","Ly6e"
"Dhodh",2.47175733376126e-05,2.14818315784615,0.256,0.045,0.475813286749043,"3","Dhodh"
"Cxcl10",2.47537320707472e-05,1.91923797042046,0.385,0.112,0.476509342361883,"3","Cxcl10"
"Tagln2",2.61660917052177e-05,1.55588501872487,0.615,0.313,0.503697265325442,"3","Tagln2"
"Mrpl21",2.80716647967965e-05,1.26760764151013,0.718,0.369,0.540379547338332,"3","Mrpl21"
"Ccdc34",2.83085821875512e-05,1.40586205774491,0.641,0.307,0.54494020711036,"3","Ccdc34"
"Snrpa1",3.13515509714685e-05,1.12115890240969,0.692,0.335,0.60351735620077,"3","Snrpa1"
"Pelo",3.29869892701778e-05,1.65177373791026,0.333,0.078,0.634999543450924,"3","Pelo"
"Bhlhb9",3.35392763876699e-05,1.95369438312106,0.308,0.067,0.645631070462645,"3","Bhlhb9"
"Dazap1",3.49032241583599e-05,1.05154312889313,0.769,0.425,0.671887065048428,"3","Dazap1"
"Anp32e",3.67831816656259e-05,1.04292568669926,0.718,0.436,0.708076247063298,"3","Anp32e"
"Hmgn2",4.09878222813127e-05,1.74891386419253,0.462,0.173,0.789015578915269,"3","Hmgn2"
"Cenpw",4.28154027373751e-05,2.01195289083163,0.333,0.089,0.82419650269447,"3","Cenpw"
"Gpn3",4.83065775196325e-05,1.39216334160417,0.333,0.078,0.929901617252926,"3","Gpn3"
"Dkc1",4.92361877638355e-05,1.74839377720564,0.385,0.112,0.947796614453833,"3","Dkc1"
"Mthfd1",5.2477253896712e-05,1.36180814442778,0.359,0.089,1,"3","Mthfd1"
"Rpe",5.27740571602263e-05,2.58171514154914,0.256,0.05,1,"3","Rpe"
"Htatsf1",5.54307343201167e-05,1.39207523074421,0.436,0.134,1,"3","Htatsf1"
"Ppil4",5.62287926051796e-05,1.21214979994151,0.59,0.212,1,"3","Ppil4"
"Bub3",5.8365425021903e-05,1.10404260505213,0.744,0.425,1,"3","Bub3"
"Cdt1",7.0953034302593e-05,1.73880520669944,0.333,0.089,1,"3","Cdt1"
"Apex1",7.11295024596588e-05,1.12797805253075,0.615,0.296,1,"3","Apex1"
"Nxt1",7.143093955373e-05,1.40982620059653,0.538,0.223,1,"3","Nxt1"
"L3mbtl2",7.23133486353654e-05,1.8437498993248,0.256,0.05,1,"3","L3mbtl2"
"X2610524H06Rik",7.44378486981998e-05,1.75038143465517,0.41,0.134,1,"3","X2610524H06Rik"
"Rfc3",8.24070373510878e-05,1.40797165353069,0.462,0.156,1,"3","Rfc3"
"Mis18a",9.07873116081965e-05,1.58410616825051,0.538,0.229,1,"3","Mis18a"
"Fam132a",9.1731613394393e-05,1.56009699420291,0.436,0.145,1,"3","Fam132a"
"Mettl2",9.18093766989459e-05,1.58447602112928,0.256,0.05,1,"3","Mettl2"
"Nkap",9.19727423446444e-05,1.5537548909478,0.487,0.173,1,"3","Nkap"
"Mynn",0.000100968922470644,2.11749876481343,0.282,0.067,1,"3","Mynn"
"Terf1",0.000101460251112839,1.57102637350288,0.436,0.14,1,"3","Terf1"
"S100a10",0.000102155065021217,1.28194954396106,0.513,0.196,1,"3","S100a10"
"Gm8186",0.000104355865366515,1.68640680296151,0.436,0.151,1,"3","Gm8186"
"Dnajc10",0.000107556037882279,1.66957912243756,0.385,0.123,1,"3","Dnajc10"
"Exosc8",0.000110408189702586,1.30010796265273,0.59,0.296,1,"3","Exosc8"
"Cdk6",0.000111795210621707,1.53116891469557,0.487,0.196,1,"3","Cdk6"
"Rhbdd3",0.000114495573810818,2.17962703337105,0.256,0.056,1,"3","Rhbdd3"
"Pgp",0.000117000463788461,1.35606117887625,0.59,0.268,1,"3","Pgp"
"X2810403A07Rik",0.000117144052759051,2.13412235988183,0.256,0.056,1,"3","X2810403A07Rik"
"Tomm40",0.000119477174605856,1.02256370825103,0.718,0.43,1,"3","Tomm40"
"Rbbp4",0.000119792518042942,1.02760125734032,0.795,0.458,1,"3","Rbbp4"
"Xrcc6",0.000121187780532489,1.43034710351259,0.359,0.101,1,"3","Xrcc6"
"Pold1",0.000122615274090218,1.93875814340504,0.256,0.056,1,"3","Pold1"
"Dnmt1",0.000135775650098452,1.2258133580032,0.487,0.173,1,"3","Dnmt1"
"Thyn1",0.000140875116662525,1.13973795761596,0.564,0.223,1,"3","Thyn1"
"Ppie",0.000171097210322953,1.44580840913088,0.41,0.134,1,"3","Ppie"
"Topbp1",0.000172036853955869,1.61809066187672,0.282,0.067,1,"3","Topbp1"
"Orc6",0.000179811767233599,1.51951123519662,0.41,0.134,1,"3","Orc6"
"Tyw1",0.000183661366240395,1.27406075432351,0.308,0.078,1,"3","Tyw1"
"Hnrnph1",0.000191207588362252,1.65598057222069,0.487,0.196,1,"3","Hnrnph1"
"Srsf1",0.000194932185366545,1.24252660166758,0.641,0.313,1,"3","Srsf1"
"Siva1",0.000202560344148789,1.08170820104849,0.615,0.318,1,"3","Siva1"
"Tdp1",0.000209594884687803,1.5903373083409,0.282,0.073,1,"3","Tdp1"
"Dalrd3",0.000223280926077155,1.56633670633052,0.333,0.095,1,"3","Dalrd3"
"Spidr",0.000231606446553542,1.60312361597502,0.308,0.084,1,"3","Spidr"
"Mcmbp",0.000232650705920436,1.15497592793208,0.667,0.33,1,"3","Mcmbp"
"Metrn",0.000233196903636516,1.39975993837395,0.436,0.162,1,"3","Metrn"
"Brwd1",0.000251470176625016,1.72628152820305,0.282,0.073,1,"3","Brwd1"
"Ptrh2",0.000256038169808832,1.16811455436996,0.436,0.156,1,"3","Ptrh2"
"Saal1",0.00026987988637467,1.47781055349101,0.308,0.084,1,"3","Saal1"
"Elp2",0.000279046585721905,1.7639514357856,0.359,0.117,1,"3","Elp2"
"Strbp",0.000285032545096258,2.11223434783255,0.256,0.061,1,"3","Strbp"
"Klk8",0.000303706650883871,1.82554598583911,0.256,0.061,1,"3","Klk8"
"Smchd1",0.0003362416029152,1.05844638013081,0.538,0.223,1,"3","Smchd1"
"Rnf138",0.000344233565464283,1.42699726428669,0.436,0.168,1,"3","Rnf138"
"Paxip1",0.000344541805221817,1.52746996124552,0.256,0.061,1,"3","Paxip1"
"Kdelr2",0.000378182247923826,1.10107852429928,0.641,0.324,1,"3","Kdelr2"
"Emb",0.000401235662145752,1.05172678320579,0.692,0.402,1,"3","Emb"
"Cycs",0.000406132566174762,1.25626454329003,0.564,0.274,1,"3","Cycs"
"Nme7",0.000415521786036927,1.36841041992904,0.256,0.061,1,"3","Nme7"
"Mrps7",0.000427739929238151,1.11876931092717,0.718,0.408,1,"3","Mrps7"
"Fam111a",0.000444330710299367,1.08373693691225,0.615,0.307,1,"3","Fam111a"
"Ifi203",0.000449779130452059,1.12706562664832,0.615,0.318,1,"3","Ifi203"
"Zfp800",0.000495902790168047,1.50283106287679,0.333,0.101,1,"3","Zfp800"
"Alg3",0.0005064566577848,1.72451781751734,0.333,0.106,1,"3","Alg3"
"AI6622701",0.000509391322809222,1.24410949061155,0.513,0.235,1,"3","AI662270"
"Orc3",0.000515123137995438,1.52240478154357,0.333,0.106,1,"3","Orc3"
"Nde1",0.000524519806787427,1.29101801537685,0.41,0.151,1,"3","Nde1"
"Sec63",0.000524856616131426,1.29972335668522,0.385,0.134,1,"3","Sec63"
"Clec12a1",0.000535940687440895,1.21310547698746,0.462,0.19,1,"3","Clec12a"
"Pfdn6",0.000537633367196576,1.00049835052558,0.692,0.374,1,"3","Pfdn6"
"Abce1",0.000551012979406363,1.57681869336824,0.41,0.156,1,"3","Abce1"
"Wdr77",0.000566672690108962,1.35456490374758,0.436,0.168,1,"3","Wdr77"
"Rfc2",0.000569119468531682,1.0466662526967,0.641,0.397,1,"3","Rfc2"
"Nup85",0.000574399091968642,1.81171514499357,0.282,0.078,1,"3","Nup85"
"Cdc16",0.000627471561602431,1.09719926240717,0.564,0.263,1,"3","Cdc16"
"Dis3l",0.00066540154116797,1.5427564732526,0.308,0.095,1,"3","Dis3l"
"Tssc4",0.000669867366393708,1.43076064785088,0.359,0.128,1,"3","Tssc4"
"Trnt1",0.000671975802849416,1.45363926774041,0.256,0.067,1,"3","Trnt1"
"Mrpl13",0.000672364660524723,1.50797333912324,0.487,0.212,1,"3","Mrpl13"
"Psat11",0.000675767726174847,1.55766115246582,0.41,0.168,1,"3","Psat1"
"Gnpnat1",0.000677057019469452,1.75428191875818,0.308,0.095,1,"3","Gnpnat1"
"Ramp11",0.000714823021006892,2.29385106478156,0.256,0.073,1,"3","Ramp1"
"Exosc7",0.000738700472818303,1.10506718706811,0.564,0.268,1,"3","Exosc7"
"Spata24",0.000740934717840261,1.74954847301685,0.256,0.067,1,"3","Spata24"
"Nup62",0.000790509202361436,1.20117738284692,0.513,0.235,1,"3","Nup62"
"Ranbp3",0.000799652095474962,1.00931364139985,0.487,0.201,1,"3","Ranbp3"
"X2410016O06Rik",0.000816418939743281,1.36082443349615,0.256,0.067,1,"3","X2410016O06Rik"
"Pusl1",0.000818415557887775,1.47131461591919,0.308,0.095,1,"3","Pusl1"
"Psmg2",0.00081851937236374,1.06906557103418,0.538,0.235,1,"3","Psmg2"
"Cdkn2d",0.000848281460720962,2.09207716114405,0.256,0.073,1,"3","Cdkn2d"
"Nup133",0.000862184896097705,1.29873257989277,0.282,0.078,1,"3","Nup133"
"Ppat",0.000864457840687911,1.87503454970485,0.256,0.073,1,"3","Ppat"
"Haus4",0.000916239825981029,1.26391091784296,0.436,0.173,1,"3","Haus4"
"Dph6",0.000916402192949643,1.3940952093284,0.256,0.067,1,"3","Dph6"
"Rangap1",0.000933746195635556,1.41906781079356,0.436,0.184,1,"3","Rangap1"
"Ift22",0.000939865418754766,1.38471633300973,0.385,0.14,1,"3","Ift22"
"Map3k10",0.00100454504160224,1.5327310600092,0.256,0.073,1,"3","Map3k10"
"Cdkn2aipnl",0.00101461971238125,1.52883884450819,0.308,0.101,1,"3","Cdkn2aipnl"
"Nudt19",0.00103814674431991,1.54524746515723,0.308,0.106,1,"3","Nudt19"
"Gatb",0.00104270951098604,1.75490772882233,0.256,0.073,1,"3","Gatb"
"Arrdc3",0.00112919433356361,1.40350301616949,0.385,0.151,1,"3","Arrdc3"
"Sf3b3",0.00115474636671569,1.17844051227028,0.385,0.14,1,"3","Sf3b3"
"X5430427O19Rik",0.00120660576366184,1.04342137381912,0.308,0.095,1,"3","X5430427O19Rik"
"Rbm15",0.00127769300599233,1.41236292116474,0.256,0.073,1,"3","Rbm15"
"Mto1",0.00130224542238281,1.46114753819744,0.385,0.151,1,"3","Mto1"
"Eefsec",0.00130265279522362,1.70631429453004,0.308,0.106,1,"3","Eefsec"
"Prpf31",0.00131238567986371,1.46860753456917,0.513,0.257,1,"3","Prpf31"
"S100a11",0.00133620268473519,1.44201521433649,0.487,0.263,1,"3","S100a11"
"Gm10320",0.00136430617702475,1.36754180074147,0.359,0.145,1,"3","Gm10320"
"Cdyl",0.00136487352191365,1.57613169170144,0.282,0.089,1,"3","Cdyl"
"Usp39",0.00137136583508342,1.42549474318701,0.41,0.162,1,"3","Usp39"
"Lsm8",0.00138231486426788,1.03195611778638,0.564,0.307,1,"3","Lsm8"
"Ncbp2",0.00140438085692737,1.07645990632434,0.564,0.279,1,"3","Ncbp2"
"Ptpn71",0.00142773645944848,1.71622039082269,0.256,0.078,1,"3","Ptpn7"
"Tex30",0.00145495772174124,1.13217488035298,0.308,0.101,1,"3","Tex30"
"Msh2",0.0015144720616668,1.20840217569533,0.333,0.112,1,"3","Msh2"
"Timm9",0.00152826156614416,1.51390146033563,0.308,0.106,1,"3","Timm9"
"Aimp2",0.00154574809708625,1.17105022053015,0.462,0.19,1,"3","Aimp2"
"Cbfb",0.00155167789164642,1.14855046722979,0.564,0.285,1,"3","Cbfb"
"Mrps25",0.00158863485548647,1.12600027851003,0.538,0.268,1,"3","Mrps25"
"Cdk2ap1",0.00163705625787327,1.01401214605565,0.538,0.263,1,"3","Cdk2ap1"
"Fut8",0.00167465773869854,1.43936239600216,0.256,0.078,1,"3","Fut8"
"Xrcc1",0.00178528714341493,1.14414120450944,0.41,0.179,1,"3","Xrcc1"
"Kansl1",0.00182565916975663,1.03123320227359,0.462,0.19,1,"3","Kansl1"
"Dhdds",0.00199592150668424,1.42867951746997,0.308,0.106,1,"3","Dhdds"
"Vcpkmt",0.00202758325794022,1.14804623823618,0.359,0.14,1,"3","Vcpkmt"
"Nudt1",0.00207339192422839,1.86535985231194,0.282,0.095,1,"3","Nudt1"
"Rrs1",0.00208551836020707,1.08139583328874,0.359,0.14,1,"3","Rrs1"
"Pcyox1l",0.00213774882600762,1.6859922050198,0.256,0.078,1,"3","Pcyox1l"
"Abcb8",0.0023700239576292,1.36992969609663,0.256,0.078,1,"3","Abcb8"
"Minpp1",0.0023823381039206,1.01468384954995,0.41,0.168,1,"3","Minpp1"
"Rpa3",0.00238318390662685,1.14492811979121,0.513,0.263,1,"3","Rpa3"
"Ccnc",0.00250063434897456,1.47261909976075,0.359,0.14,1,"3","Ccnc"
"Haus3",0.00253747547054003,1.14035790693326,0.256,0.078,1,"3","Haus3"
"Rpp30",0.00265819891783411,1.20216929694603,0.487,0.229,1,"3","Rpp30"
"Tmem39b",0.00276623631443579,1.41715107313557,0.308,0.112,1,"3","Tmem39b"
"Atic",0.00280764158713593,1.17610429229496,0.385,0.156,1,"3","Atic"
"Purb",0.00282596872181146,1.6455148289743,0.333,0.134,1,"3","Purb"
"Gabpb2",0.00285318832767725,1.434049864346,0.282,0.095,1,"3","Gabpb2"
"Cabin1",0.00287451466102323,1.19875358162003,0.41,0.179,1,"3","Cabin1"
"Usp10",0.00290525863824825,1.27787756329985,0.256,0.078,1,"3","Usp10"
"Csgalnact2",0.00295450274811829,1.61898677497642,0.256,0.078,1,"3","Csgalnact2"
"Rbm28",0.00295781902559966,1.32720966004867,0.333,0.123,1,"3","Rbm28"
"Ankrd10",0.00315940730791293,1.3587264441533,0.333,0.134,1,"3","Ankrd10"
"Psmb9",0.00321672883842568,1.02027782555035,0.615,0.313,1,"3","Psmb9"
"Yrdc",0.00321720732863537,1.06489069464034,0.462,0.212,1,"3","Yrdc"
"Hacd1",0.00325419649850288,1.25839475677068,0.41,0.19,1,"3","Hacd1"
"Sltm",0.00327530189381543,1.05302372922465,0.487,0.229,1,"3","Sltm"
"Fancl",0.00331363836150861,1.49599628671187,0.256,0.084,1,"3","Fancl"
"Ddx39",0.00338268122902252,1.00872829326495,0.564,0.33,1,"3","Ddx39"
"Cstf3",0.0034030358771376,1.45094275215471,0.282,0.101,1,"3","Cstf3"
"Pwp1",0.00343260350640913,1.53955216294238,0.333,0.134,1,"3","Pwp1"
"Gtf2f1",0.00343799412373445,1.02115053575338,0.487,0.218,1,"3","Gtf2f1"
"Polr2h",0.00350514472787448,1.32584294847671,0.436,0.212,1,"3","Polr2h"
"Nup93",0.00355446636474142,1.11667111153981,0.308,0.112,1,"3","Nup93"
"Sgf29",0.00371312119311391,1.23991453501723,0.308,0.112,1,"3","Sgf29"
"Npm3",0.00385743381220115,1.01006755677072,0.564,0.335,1,"3","Npm3"
"Eif1ad",0.00395438995628752,1.0596632732861,0.41,0.19,1,"3","Eif1ad"
"Chchd6",0.00396796387123035,1.07829219806372,0.359,0.14,1,"3","Chchd6"
"Rpa1",0.00417689334484467,1.20482445776413,0.436,0.212,1,"3","Rpa1"
"Ankra2",0.00432463381288258,1.13860327426911,0.359,0.145,1,"3","Ankra2"
"Hnrnpa1",0.00447909179159072,1.11479548167588,0.333,0.128,1,"3","Hnrnpa1"
"BC035044",0.00448559135508582,1.35773660851061,0.308,0.123,1,"3","BC035044"
"Shmt2",0.00451234627467623,1.0699592186877,0.41,0.19,1,"3","Shmt2"
"Rpap3",0.00454203082374402,1.00017281928848,0.308,0.112,1,"3","Rpap3"
"Zzef1",0.00460721480222815,1.10987618597508,0.308,0.112,1,"3","Zzef1"
"Alg8",0.00495257311142139,1.46719523267684,0.282,0.101,1,"3","Alg8"
"Gle1",0.00513746746192412,1.37848337497054,0.359,0.156,1,"3","Gle1"
"Cep57",0.00519816287738728,1.15647282286174,0.359,0.151,1,"3","Cep57"
"Got2",0.00550206785338623,1.26806568607825,0.41,0.201,1,"3","Got2"
"Cenpa",0.00551894065981012,1.3387452510319,0.436,0.246,1,"3","Cenpa"
"Reep4",0.00553478922140249,1.27153877872497,0.385,0.184,1,"3","Reep4"
"Xpo1",0.0055979299504954,1.0427567424161,0.359,0.145,1,"3","Xpo1"
"Myc1",0.00563028369205033,1.19197181570445,0.41,0.201,1,"3","Myc"
"Mtap",0.00590264825410814,1.08738974760753,0.282,0.101,1,"3","Mtap"
"Eml4",0.00590517675341043,1.05210954944737,0.385,0.168,1,"3","Eml4"
"Xpc",0.00595962101086561,1.27195845610994,0.256,0.089,1,"3","Xpc"
"Pcgf5",0.00595962101086561,1.39651977822687,0.256,0.089,1,"3","Pcgf5"
"Lars",0.00601492503468313,1.0864515536438,0.436,0.212,1,"3","Lars"
"Asxl1",0.00623683942319676,1.38939645629143,0.256,0.089,1,"3","Asxl1"
"Apmap",0.00632571363318086,1.05532292213661,0.385,0.179,1,"3","Apmap"
"Cdc23",0.00659485570183926,1.00865669908802,0.333,0.128,1,"3","Cdc23"
"Cenpc1",0.00662451101144405,1.25092735858948,0.256,0.089,1,"3","Cenpc1"
"Prep",0.00662451101144405,1.08105202834417,0.256,0.089,1,"3","Prep"
"Mipep",0.00692934000572249,1.02167439340738,0.256,0.089,1,"3","Mipep"
"Acy1",0.0069822203321349,1.18872183643923,0.256,0.095,1,"3","Acy1"
"Rrp9",0.00703022596175704,1.01268022371551,0.308,0.123,1,"3","Rrp9"
"Isy1",0.00722765077714402,1.02100515069303,0.333,0.134,1,"3","Isy1"
"Pgs1",0.00753763184617326,1.62558476338677,0.359,0.156,1,"3","Pgs1"
"Thop1",0.00791963104317936,1.11159565426431,0.308,0.123,1,"3","Thop1"
"X2310009B15Rik",0.00831659009393585,1.0957770926189,0.256,0.095,1,"3","X2310009B15Rik"
"Pdha1",0.00837908650013576,1.03334580299524,0.513,0.313,1,"3","Pdha1"
"Polr3h",0.00853430933001523,1.07911797256271,0.308,0.128,1,"3","Polr3h"
"Mrpl45",0.00887150026380861,1.11061045809328,0.41,0.207,1,"3","Mrpl45"
"Ide",0.00893688282734308,1.53456463560681,0.256,0.095,1,"3","Ide"
"Coq7",0.00909949740964553,1.37590657547107,0.41,0.212,1,"3","Coq7"
"Rabep2",0.00914270693171226,1.04074196126724,0.308,0.123,1,"3","Rabep2"
"Pygo2",0.00919635278112319,1.00576067577521,0.256,0.095,1,"3","Pygo2"
"Las1l",0.00962514865908701,1.02838542297979,0.359,0.151,1,"3","Las1l"
"Cwc27",0.00972271362866764,1.68633340010124,0.256,0.101,1,"3","Cwc27"
"Med27",0.00978353928273196,1.219402448909,0.282,0.112,1,"3","Med27"
